Name,Description,"Library Ref","Footprint Ref",Manufacturer,"Manufacturer Part Number",Value,"Supplier 1","Supplier Part Number 1"
B240A,"DIODE SCHOTTKY 40V 2A SMA",DIODE-SCHOTTKY,SMA,"Diodes Incorporated",B240A-13-F,B240A,Digi-Key,B240A-FDICT-ND
LL4148,"DIODE SMALL SIG 100V 0.2A SOD80",DIODE,SOD-80,"Fairchild Semiconductor",LL4148,LL4148,Digi-Key,LL4148FSCT-ND
LED_GREEN_0603_530,"LED CHIPLED 570NM GREEN 0603 SMD",LED-GREEN,DSO-F2/D3.4,"OSRAM Opto Semiconductors Inc","LG Q971-KN-1",530nm,Digi-Key,475-1409-1-ND
LED_YELLOW_0603_587,"LED CHIPLED 587NM YLW 0603 SMD",LED-YELLOW,DSO-F2/D3.4,"OSRAM Opto Semiconductors Inc","LY Q976-P1S2-36",587nm,Digi-Key,475-2558-1-ND
LED_RED_0603_628,"LED POINTLED 628NM SUPER RED SMD",LED-RED,DSO-F2/D3.4,"OSRAM Opto Semiconductors Inc","LS Q971-KN-1",628nm,Digi-Key,475-3016-1-ND
MMBT3904,"TRANSISTOR NPN 40V 0.2A SOT23",BJT-NPN-BEC,SOT23-3L,"NXP Semiconductors",MMBT3904,MMBT3904,Digi-Key,568-4510-1-ND
PMBT3906,"TRANSISTOR PNP 40V 0.2A SOT23",BJT-PNP-BEC,SOT23-3L,"NXP Semiconductors",PMBT3906,PMBT3906,Digi-Key,568-1742-1-ND
PSMN9R0-25MLC,"TRANSISTOR MOSFET N-CHANN 25V 8.6MOHM",MOSFET-N-SSSGD,x-NXP_LFPAK33,"NXP Semiconductors","PSMN9R0-25MLC,115",PSMN9R0-25MLC,Digi-Key,568-9578-1-ND
BSS84,"MOSFET P-CH 50V 130MA SOT-23",MOSFET-P-GSD,SOT23-3L,"Fairchild Semiconductor",BSS84,BSS84,Digi-Key,BSS84CT-ND
